コード,銘柄名,市場
5015-T,BPカストロール,東証1部
5017-T,富士石油,東証1部
5018-T,MORESCO,東証1部
5019-T,出光興産,東証1部
5020-T,JX,東証1部
5021-T,コスモエネHD,東証1部
5101-T,浜ゴム,東証1部
5105-T,洋ゴム,東証1部
5108-T,ブリヂストン,東証1部
5110-T,住友ゴム,東証1部
5121-T,藤倉ゴム,東証1部
5122-T,オカモト,東証1部
5142-T,アキレス,東証1部
5185-T,フコク,東証1部
5186-T,ニッタ,東証1部
5187-T,クリエート,東証1部
5191-T,住友理工,東証1部
5192-T,三星ベ,東証1部
5195-T,バンドー,東証1部
5201-T,旭硝子,東証1部
5202-T,板硝子,東証1部
5204-T,石塚硝,東証1部
5208-T,有沢製,東証1部
5210-T,日山村硝,東証1部
5214-T,日電硝,東証1部
5218-T,オハラ,東証1部
5232-T,住阪セメ,東証1部
5233-T,太平洋セメ,東証1部
5261-T,リソル,東証1部
5262-T,日ヒューム,東証1部
5269-T,日本コン,東証1部
5273-T,三谷セキ,東証1部
5288-T,アジアパイル,東証1部
5301-T,東海カ,東証1部
5302-T,日カーボン,東証1部
5310-T,東洋炭素,東証1部
5331-T,ノリタケ,東証1部
5332-T,TOTO,東証1部
5333-T,ガイシ,東証1部
5334-T,特殊陶,東証1部
5337-T,ダントーHD,東証1部
5344-T,MARUWA,東証1部
5351-T,品川リフラ,東証1部
5352-T,黒崎播磨,東証1部
5357-T,ヨータイ,東証1部
5358-T,イソライト,東証1部
5363-T,TYK,東証1部
5367-T,ニッカトー,東証1部
5384-T,フジミインコ,東証1部
5391-T,A&AM,東証1部
5393-T,ニチアス,東証1部
5401-T,新日鉄住,東証1部
5406-T,神戸鋼,東証1部
5408-T,中山鋼,東証1部
5410-T,合同鉄,東証1部
5411-T,JFEHD,東証1部
5413-T,日新製鋼,東証1部
5423-T,東製鉄,東証1部
5440-T,共英製鋼,東証1部
5444-T,大和工,東証1部
5445-T,東京鉄,東証1部
5449-T,大阪製鉄,東証1部
5451-T,淀川鋼,東証1部
5453-T,洋鋼鈑,東証1部
5463-T,丸一管,東証1部
5464-T,モリ工業,東証1部
5471-T,大特鋼,東証1部
5476-T,高周波,東証1部
5480-T,冶金工,東証1部
5481-T,山特鋼,東証1部
5482-T,愛知鋼,東証1部
5486-T,日立金,東証1部
5491-T,日金属,東証1部
5541-T,大平金,東証1部
5563-T,新日電工,東証1部
5602-T,栗本鉄,東証1部
5603-T,虹技,東証1部
5612-T,鋳鉄管,東証1部
